minimum_nights,number_of_reviews,reviews_per_month,Price
4.0,0.0,0.0,110
1.0,4.0,1.26,150
1.0,81.0,2.64,75
3.0,118.0,8.06,50
2.0,29.0,1.58,250
30.0,0.0,0.0,335
29.0,1.0,1.0,185
2.0,0.0,0.0,65
3.0,7.0,3.28,169
30.0,0.0,0.0,48
3.0,2.0,0.08,100
30.0,4.0,0.26,58
2.0,3.0,0.11,86
30.0,4.0,0.18,200
1.0,8.0,1.36,299
1.0,0.0,0.0,300
3.0,26.0,0.51,250
2.0,0.0,0.0,200
30.0,0.0,0.0,200
1.0,46.0,2.16,55
5.0,0.0,0.0,168
6.0,3.0,0.13,175
1.0,3.0,2.05,299
3.0,4.0,0.09,95
1.0,0.0,0.0,140
3.0,326.0,3.96,100
1.0,3.0,0.55,65
5.0,0.0,0.0,303
2.0,27.0,4.38,110
5.0,0.0,0.0,50
2.0,2.0,0.08,160
30.0,2.0,0.48,55
2.0,71.0,0.9,125
1.0,4.0,0.25,179
1.0,72.0,1.37,259
2.0,0.0,0.0,69
30.0,0.0,0.0,200
4.0,6.0,0.13,60
2.0,2.0,0.11,150
2.0,13.0,1.49,70
4.0,10.0,0.42,225
30.0,1.0,0.21,33
2.0,1.0,0.03,48
4.0,59.0,1.56,240
5.0,1.0,0.05,80
2.0,20.0,0.73,131
4.0,18.0,1.44,55
2.0,4.0,1.88,40
4.0,21.0,0.34,55
2.0,0.0,0.0,75
3.0,6.0,0.26,116
5.0,0.0,0.0,250
30.0,3.0,0.1,61
2.0,169.0,4.48,136
4.0,11.0,0.77,175
3.0,4.0,0.07,155
14.0,1.0,0.16,35
1.0,88.0,5.14,85
3.0,61.0,0.53,105
2.0,12.0,1.4,800
1.0,1.0,0.1,110
7.0,0.0,0.0,169
1.0,2.0,0.04,97
20.0,14.0,2.04,250
30.0,0.0,0.0,128
1.0,7.0,0.22,80
1.0,69.0,2.35,56
2.0,55.0,2.97,50
3.0,4.0,0.22,187
3.0,88.0,2.25,120
1.0,25.0,1.35,60
2.0,1.0,1.0,159
1.0,72.0,4.08,105
3.0,54.0,3.68,90
17.0,0.0,0.0,37
30.0,0.0,0.0,450
3.0,49.0,1.58,180
1.0,190.0,2.64,59
2.0,51.0,4.23,98
1.0,30.0,3.66,120
10.0,0.0,0.0,140
2.0,2.0,0.08,198
5.0,0.0,0.0,32
2.0,65.0,2.88,54
1.0,0.0,0.0,180
1.0,68.0,6.54,70
29.0,0.0,0.0,120
30.0,0.0,0.0,55
2.0,134.0,3.42,119
15.0,0.0,0.0,150
2.0,0.0,0.0,176
3.0,0.0,0.0,750
1.0,2.0,0.05,60
2.0,280.0,2.92,99
1.0,30.0,3.61,145
1.0,0.0,0.0,2000
2.0,0.0,0.0,100
1.0,0.0,0.0,150
2.0,78.0,2.24,221
2.0,0.0,0.0,190
12.0,17.0,0.74,53
21.0,0.0,0.0,45
2.0,7.0,0.16,60
10.0,0.0,0.0,210
2.0,8.0,0.31,275
5.0,0.0,0.0,100
1.0,9.0,3.42,68
30.0,2.0,0.04,175
1.0,59.0,1.9,53
1.0,4.0,0.44,250
2.0,56.0,0.94,70
5.0,0.0,0.0,145
1.0,0.0,0.0,70
2.0,7.0,1.35,88
1.0,67.0,3.63,145
7.0,0.0,0.0,90
7.0,0.0,0.0,180
2.0,23.0,4.51,125
5.0,3.0,0.4,59
5.0,6.0,0.44,125
2.0,4.0,0.17,150
3.0,0.0,0.0,185
2.0,17.0,0.55,105
2.0,3.0,3.0,72
1.0,41.0,2.24,60
2.0,31.0,4.13,140
5.0,0.0,0.0,55
1.0,126.0,3.21,359
2.0,33.0,4.21,201
2.0,6.0,1.94,65
2.0,3.0,0.08,245
3.0,24.0,0.44,125
2.0,11.0,0.3,150
1.0,34.0,1.38,100
2.0,2.0,0.32,60
2.0,27.0,0.42,45
10.0,3.0,0.22,168
2.0,4.0,0.18,60
5.0,3.0,0.04,150
1.0,4.0,0.11,80
2.0,88.0,5.69,79
28.0,5.0,0.26,65
5.0,3.0,0.16,75
1.0,4.0,0.7,150
2.0,20.0,0.84,110
1.0,0.0,0.0,95
2.0,22.0,3.55,125
2.0,1.0,0.02,100
30.0,0.0,0.0,285
2.0,0.0,0.0,300
2.0,10.0,3.85,75
7.0,0.0,0.0,35
15.0,3.0,0.47,40
1.0,0.0,0.0,186
1.0,1.0,0.03,69
1.0,129.0,5.11,60
60.0,0.0,0.0,65
2.0,52.0,2.7,90
3.0,8.0,0.31,45
2.0,5.0,1.83,26
2.0,0.0,0.0,79
3.0,37.0,0.48,88
1.0,0.0,0.0,215
10.0,0.0,0.0,110
1.0,0.0,0.0,175
2.0,0.0,0.0,250
3.0,1.0,0.42,86
2.0,8.0,3.93,65
30.0,0.0,0.0,60
3.0,1.0,0.16,130
2.0,292.0,4.95,140
1.0,17.0,0.31,227
7.0,1.0,0.16,225
20.0,0.0,0.0,43
1.0,20.0,4.88,45
5.0,0.0,0.0,250
3.0,1.0,1.0,495
2.0,0.0,0.0,640
2.0,40.0,1.54,375
